number,anomaly_start,anomaly_end,anomaly_source
a1,2024-02-02 10:22:00-0500,2024-02-02 11:01:00-0500,2
a2,2024-02-07 05:38:00-0500,2024-02-07 09:13:00-0500,2
a3,2024-02-12 11:36:52-0500,2024-02-12 12:13:17-0500,3
a4,2024-02-12 11:41:08-0500,2024-02-12 12:12:49-0500,3
a5,2024-02-12 11:42:24-0500,2024-02-12 12:09:33-0500,3
a6,2024-02-27 20:25:23-0500,2024-02-27 21:10:21-0500,3
a7,2024-02-29 20:38:00-0500,2024-02-29 23:20:00-0500,2
a8,2024-03-01 07:03:21-0500,2024-03-01 07:23:18-0500,3
a9,2024-03-06 00:14:12-0500,2024-03-06 00:33:37-0500,3
a10,2024-03-06 23:44:27-0500,2024-03-07 01:53:27-0500,1
a11,2024-03-07 17:48:15-0500,2024-03-07 18:08:12-0500,3
a12,2024-03-11 13:10:00-0400,2024-03-11 13:49:00-0400,2
a13,2024-03-12 07:30:00-0400,2024-03-12 14:50:00-0400,2
a14,2024-03-12 19:45:00-0400,2024-03-13 14:13:00-0400,2
a15,2024-03-18 09:35:00-0400,2024-03-18 17:47:00-0400,2
a16,2024-03-19 06:11:00-0400,2024-03-19 07:01:00-0400,2
a17,2024-04-14 07:03:45-0400,2024-04-14 10:02:28-0400,3
a18,2024-04-30 13:52:48-0400,2024-04-30 14:07:44-0400,3
a19,2024-05-05 22:18:15-0400,2024-05-06 16:09:15-0400,1
a20,2024-05-07 06:59:44-0400,2024-05-07 09:58:44-0400,1
a21,2024-05-24 00:07:00-0400,2024-05-24 00:07:00-0400,2
a22,2024-05-24 04:01:50-0400,2024-05-24 04:22:14-0400,3
a23,2024-05-26 02:40:00-0400,2024-05-26 02:42:00-0400,2
a24,2024-05-31 07:52:00-0400,2024-05-31 15:43:00-0400,2
a25,2024-05-31 19:02:15-0400,2024-05-31 19:21:43-0400,3
